   0 -1.519 -0.440   66    4.744    9.961    1.432 5000.013  256.832    0.012    0.035   23.190    1.381    0.000
   1 -1.499 -0.816   63    6.772   11.963    8.768 4858.974   63.152   -0.002    0.003    7.879    4.583    0.000
   2 -1.386 -1.235  158    5.224    9.576   11.053 4864.613  113.100   -0.025   -0.021   15.101    3.827    0.000
   3 -1.125 -0.689   86   24.214   36.175    2.138 4879.957  156.507    0.017    0.044   16.864    2.968    0.000
   4 -1.357 -0.094  121   19.959   23.652    1.610 4928.004  106.831    0.030   -0.000   23.085    2.293    0.000
   5 -0.823 -0.936   75   30.268   42.422    1.288 4856.711  165.905    0.016    0.039   17.181    2.941    0.000
   6 -0.867 -0.379   42   33.801   46.015    1.103 4907.209  202.391   -0.060    0.067   28.000    1.000    0.000
   7 -0.701 -0.592   29   32.941   43.038    1.089 4884.236  224.422   -0.060    0.038   19.032    2.719    0.000
   8 -0.847 -0.146   27   29.445   42.747    1.119 4925.555  226.453   -0.005    0.000   21.316    2.149    0.000
   9 -0.488 -0.715   21   32.629   43.904    1.237 4850.944  252.304   -0.048    0.029   18.727    2.279    0.000
  10 -0.565 -0.378   11   31.616   39.772    1.019 4877.600  247.843   -0.051   -0.055   23.126    2.058    0.000
  11 -0.610 -0.238   12   34.953   42.395    1.003 4872.922  263.846    0.097   -0.059   19.420    2.119    0.000
  12 -0.726 -1.342  142   21.499   17.613    1.526 4887.888  308.811   -0.055    0.044    9.116    4.308    0.000
  13 -0.443 -0.963   39   35.799   47.253    1.180 4841.455  212.321   -0.052   -0.071   23.082    2.057    0.000
  14 -0.455 -0.520   11   34.916   41.011    0.984 4857.610  242.062   -0.038    0.016   18.729    2.493    0.000
  15 -0.419 -0.381    8   31.633   43.257    0.963 4862.138  246.094    0.001    0.058   23.633    1.980    0.000
  16 -0.320 -0.590    9   36.231   41.223    0.790 4840.734  254.323   -0.006   -0.037   25.387    1.884    0.000
  17 -0.268 -0.773   12   32.346   39.819    0.865 4822.697  258.150    0.052   -0.016   19.371    2.435    0.000
  18 -0.435 -0.257    5   34.622   37.485    0.809 4891.276  261.466    0.073    0.001   18.214    2.614    0.000
  19 -1.004  0.120   56   29.365   48.385    1.218 4977.734  215.592    0.015    0.013   23.517    2.880    0.000
  20 -0.604 -0.088    8   33.823   37.619    0.949 4932.484  266.230    0.042    0.034   19.004    2.503    0.000
  21 -0.703  0.031   14   31.867   41.539    0.880 4926.986  208.013    0.071    0.090   24.762    1.379    0.000
  22 -0.474 -0.151    6   36.003   41.314    0.934 4896.186  311.738    0.049    0.021   23.450    1.807    0.000
  23 -0.302 -0.451    4   32.392   34.381    0.759 4851.025  273.768    0.025   -0.016   22.282    2.033    0.000
  24 -0.302 -0.351    4   32.116   39.092    0.778 4868.956  273.515   -0.045   -0.014   24.909    2.043    0.000
  25 -0.465 -0.047    5   31.940   40.572    0.987 4949.346  258.482   -0.033    0.076   21.471    2.087    0.000
  26 -0.756  0.228   19   35.389   43.608    1.090 4983.302  225.411   -0.028   -0.061   25.364    1.438    0.000
  27 -0.352 -0.201    4   32.077   41.726    0.779 4904.008  310.148    0.060   -0.050   24.348    1.896    0.000
  28 -0.293 -0.259    3   31.732   38.590    0.633 4863.898  251.595    0.007    0.016   20.262    2.425    0.000
  29 -0.515  0.044    5   36.613   36.663    0.796 4993.192  299.981   -0.022    0.006   16.912    2.874    0.000
  30 -1.368  0.503  166   23.761   26.332    1.610 4962.525  111.727    0.086    0.098   25.000    1.000    0.000
  31 -0.575  0.137    7   32.447   38.533    0.930 4969.889  272.170   -0.075   -0.044   21.472    1.791    0.000
  32 -0.360 -0.110    3   33.098   38.276    0.689 4916.850  288.129   -0.061    0.071   27.518    1.120    0.000
  33 -0.176 -0.551    6   30.710   43.222    0.859 4806.511  256.253    0.043   -0.002   22.353    1.852    0.000
  34 -0.185 -0.445    5   31.611   45.873    0.846 4829.320  276.259    0.018   -0.047   20.922    2.379    0.000
  35 -0.171 -0.669    8   31.076   41.323    0.880 4799.980  247.424   -0.018   -0.038   17.452    2.941    0.000
  36 -0.211 -0.360    3   31.990   39.275    0.595 4841.747  268.362   -0.033   -0.027   19.229    2.818    0.000
  37 -0.343 -0.044    3   32.475   41.306    0.608 4932.361  271.861    0.014   -0.068   25.988    1.370    0.000
  38 -0.252 -0.177    2   31.251   38.261    0.649 4874.028  276.036    0.044   -0.051   18.111    2.897    0.000
  39 -0.202 -0.277    2   31.818   36.724    0.560 4867.769  293.003   -0.008   -0.111   20.612    2.171    0.000
  40 -0.402  0.048    4   36.334   42.257    0.828 4946.010  295.306    0.011    0.004   26.317    1.417    0.000
  41 -0.251 -0.127    2   35.366   40.362    0.578 4907.305  249.943    0.041    0.018   21.188    2.248    0.000
  42 -0.202 -0.227    2   32.432   39.784    0.530 4862.783  281.494    0.017    0.010   17.646    2.731    0.000
  43 -0.245 -1.251   77   28.148   33.432    1.292 4760.496  249.899    0.040   -0.009   20.895    2.263    0.000
  44 -0.152 -0.327    2   32.835   36.916    0.606 4831.150  287.264   -0.009   -0.051   21.371    2.122    0.000
  45 -0.128 -0.875   18   31.338   48.077    1.294 4805.428  244.116    0.048   -0.034   15.789    3.237    0.000
  46 -0.251 -0.077    2   33.117   42.273    0.578 4923.538  278.032    0.028   -0.010   22.019    2.015    0.000
  47 -0.540  0.266    9   31.674   44.596    0.994 4993.057  289.803    0.006   -0.004   18.659    2.585    0.000
  48 -0.424  0.148    6   31.858   48.706    1.073 4993.133  263.369   -0.073    0.007   26.439    1.240    0.000
